#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.330640E-12
#47368_015_2-S_MAIN0_Interstrip_091923
#Date/Time: 9/19/2023 3:30:39 PM
#Sensor Name: 47368_015_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1830	3777999732.327294	1.908311	23.500000	26.501501	-1.844000E-7	5.982405E-12	-8.197878E-11	-9.012542E-11	-9.514181E-11
1845	3777999757.140762	1.854499	23.500000	26.532951	-1.845200E-7	5.983333E-12	-7.450393E-11	-8.126363E-11	-8.771426E-11
1860	3777999782.121716	1.813769	23.500000	26.515670	-1.844400E-7	5.983505E-12	-7.977650E-11	-8.538357E-11	-8.957995E-11
1875	3777999807.090601	1.811421	23.500000	26.569847	-1.846100E-7	5.983673E-12	-7.568232E-11	-8.027677E-11	-8.449424E-11
1890	3777999832.070390	1.822718	23.500000	26.552132	-1.845000E-7	5.983505E-12	-7.157423E-11	-7.724037E-11	-8.170885E-11
1905	3777999857.028601	1.845371	23.500000	26.568301	-1.845600E-7	5.983765E-12	-8.159157E-11	-8.372919E-11	-8.942971E-11
1920	3777999882.000635	1.791429	23.500000	26.571512	-1.846500E-7	5.983228E-12	-7.754030E-11	-8.069751E-11	-8.491251E-11
1935	3777999906.839277	1.813401	23.500000	26.595135	-1.846800E-7	5.983493E-12	-7.959804E-11	-8.388067E-11	-8.807320E-11
1950	3777999931.627488	1.813514	23.500000	26.595470	-1.847700E-7	5.983755E-12	-8.048736E-11	-8.318638E-11	-8.801128E-11
1965	3777999956.698793	1.829201	23.500000	26.614475	-1.844900E-7	5.982755E-12	-8.384123E-11	-8.741268E-11	-8.915001E-11
1980	3777999981.517919	1.863174	23.500000	26.647252	-1.846600E-7	5.983315E-12	-7.859054E-11	-8.225520E-11	-8.593597E-11
1995	3778000006.483863	1.830388	23.500000	26.641961	-1.847200E-7	5.983220E-12	-8.221796E-11	-8.529521E-11	-8.811819E-11
2010	3778000031.303415	1.847554	23.500000	26.634231	-1.846300E-7	5.982363E-12	-9.028055E-11	-9.187340E-11	-9.547098E-11
2025	3778000056.129699	1.851372	23.500000	26.655774	-1.846700E-7	5.982388E-12	-8.489901E-11	-8.679892E-11	-8.809404E-11
