#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.331093E-12
#47368_021_2-S_MAIN0_Interstrip_092023
#Date/Time: 9/20/2023 10:22:48 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1830	3778067658.949205	1.877719	23.500000	26.743026	-1.957300E-7	5.980192E-12	-8.260300E-11	-8.808741E-11	-9.448952E-11
1845	3778067683.784053	1.830594	23.500000	26.770610	-1.958900E-7	5.980128E-12	-8.504074E-11	-9.145642E-11	-9.732291E-11
1860	3778067708.731589	1.815092	23.500000	26.772177	-1.958500E-7	5.978688E-12	-7.642998E-11	-8.206879E-11	-8.459344E-11
1875	3778067733.528743	1.789448	23.500000	26.748613	-1.956900E-7	5.979970E-12	-7.864760E-11	-8.463636E-11	-8.727533E-11
1890	3778067758.483841	1.800409	23.500000	26.789535	-1.956800E-7	5.979882E-12	-8.562367E-11	-9.102220E-11	-9.257861E-11
1905	3778067783.436859	1.804861	23.500000	26.769660	-1.955800E-7	5.981345E-12	-7.867972E-11	-8.422977E-11	-8.721935E-11
1920	3778067808.249800	1.741669	23.500000	26.771205	-1.957100E-7	5.979798E-12	-8.107007E-11	-8.249691E-11	-8.825524E-11
1935	3778067833.069482	1.737684	23.500000	26.791595	-1.956100E-7	5.980415E-12	-8.669208E-11	-9.059592E-11	-9.200190E-11
1950	3778067858.279855	1.724663	23.500000	26.816070	-1.957400E-7	5.980577E-12	-8.463474E-11	-8.793544E-11	-8.945757E-11
1965	3778067883.066771	1.765281	23.500000	26.825265	-1.957600E-7	5.980797E-12	-8.449098E-11	-8.855966E-11	-9.025760E-11
1980	3778067907.892921	1.695089	23.500000	26.825008	-1.957600E-7	5.980210E-12	-8.101778E-11	-8.452519E-11	-8.773330E-11
1995	3778067932.710801	1.725438	23.500000	26.850452	-1.957600E-7	5.980902E-12	-8.573629E-11	-8.709833E-11	-8.886676E-11
2010	3778067957.516895	1.824246	23.500000	26.862281	-1.959000E-7	5.982260E-12	-9.127513E-11	-9.275834E-11	-9.616870E-11
2025	3778067982.471612	1.788292	23.500000	26.851522	-1.959900E-7	5.979990E-12	-8.667980E-11	-8.614456E-11	-8.858951E-11
