#Open Capacitance 1000Hz:4.560857E-12
#Open Capacitance 1000000Hz:Not Measured
#47368_021_2-S_MAIN0_Single_092023
#Date/Time: 9/20/2023 11:26:59 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
312	3778069830.816317	1.774469	23.500000	26.931758	-1.956800E-7	-9.744112E-11	1.485052E-10	-8.103659E-11	-8.315217E-11	-8.155361E-11	-7.995693E-11	-8.142483E-11	-8.129510E-11	-6.671406E-7	-3.334848E-6
316	3778069848.144226	1.760692	23.500000	26.906888	-1.956000E-7	-9.168352E-11	1.485472E-10	-8.738292E-11	-8.529758E-11	-8.567091E-11	-8.834342E-11	-8.667371E-11	-8.652691E-11	-6.651251E-7	-3.324381E-6
320	3778069865.608144	1.736280	23.500000	26.898249	-1.957000E-7	-3.375813E-11	1.485557E-10	-7.911603E-11	-7.961017E-11	-7.718915E-11	-7.849433E-11	-7.860242E-11	-7.880518E-11	-6.670546E-7	-3.333976E-6
324	3778069883.019146	1.807033	23.500000	26.902312	-1.958700E-7	-8.187082E-11	1.484980E-10	-9.261383E-11	-8.986448E-11	-9.153294E-11	-9.176067E-11	-9.144298E-11	-9.164680E-11	-6.688134E-7	-3.342551E-6
328	3778069900.301909	1.800374	23.500000	26.871436	-1.958100E-7	-3.591095E-11	1.485095E-10	-8.015050E-11	-7.936709E-11	-7.971524E-11	-7.753078E-11	-7.919090E-11	-7.954116E-11	-6.679049E-7	-3.338164E-6
332	3778069917.599537	1.846308	23.500000	26.878670	-1.957000E-7	-4.522310E-11	1.484343E-10	-8.424938E-11	-8.278434E-11	-8.279274E-11	-8.309695E-11	-8.323085E-11	-8.294484E-11	-6.691544E-7	-3.344831E-6
336	3778069934.910535	1.755425	23.500000	26.864540	-1.956900E-7	-5.322194E-12	1.484713E-10	-6.908070E-11	-7.091927E-11	-6.765225E-11	-7.207480E-11	-6.993175E-11	-6.999999E-11	-6.345334E-7	-3.182809E-6
340	3778069952.081080	1.724385	23.500000	26.884556	-1.957600E-7	-1.238062E-11	1.484943E-10	-8.464864E-11	-8.346292E-11	-8.465683E-11	-8.329915E-11	-8.401689E-11	-8.405578E-11	-6.667694E-7	-3.332648E-6
344	3778069969.483780	1.655636	23.500000	26.857506	-1.957800E-7	-2.444603E-11	1.484490E-10	-8.726493E-11	-8.609960E-11	-8.659682E-11	-8.560918E-11	-8.639263E-11	-8.634821E-11	-6.651463E-7	-3.324718E-6
348	3778069986.590254	1.700425	23.500000	26.858616	-1.956600E-7	-9.568876E-11	1.484458E-10	-8.871284E-11	-8.666188E-11	-8.687612E-11	-8.798112E-11	-8.755799E-11	-8.742862E-11	-6.657253E-7	-3.327395E-6
352	3778070003.897422	1.726914	23.500000	26.857644	-1.957700E-7	-5.373412E-11	1.483815E-10	-8.220394E-11	-8.275578E-11	-8.024949E-11	-8.126598E-11	-8.161880E-11	-8.173496E-11	-6.682199E-7	-3.340089E-6
356	3778070021.174899	1.759114	23.500000	26.878036	-1.957600E-7	-4.170806E-12	1.484073E-10	-7.915569E-11	-7.991745E-11	-8.008488E-11	-7.905941E-11	-7.955436E-11	-7.953657E-11	-6.703392E-7	-3.350356E-6
360	3778070038.332899	1.691223	23.500000	26.840979	-1.956200E-7	-9.759121E-11	1.484220E-10	-8.701901E-11	-8.626643E-11	-8.840022E-11	-8.766138E-11	-8.733676E-11	-8.734019E-11	-6.713730E-7	-3.355100E-6
364	3778070055.790503	1.748965	23.500000	26.870782	-1.956700E-7	-9.513795E-11	1.483778E-10	-7.794988E-11	-7.873800E-11	-7.850723E-11	-7.835959E-11	-7.838868E-11	-7.843341E-11	-6.730363E-7	-3.363806E-6
368	3778070073.347967	1.716407	23.500000	26.894722	-1.955600E-7	-9.598912E-11	1.483888E-10	-7.653781E-11	-7.961203E-11	-7.663757E-11	-7.700108E-11	-7.744712E-11	-7.681932E-11	-6.727429E-7	-3.362152E-6
372	3778070090.617698	1.767299	23.500000	26.873499	-1.960200E-7	-4.782643E-11	1.483375E-10	-8.262759E-11	-8.242556E-11	-8.308940E-11	-8.234934E-11	-8.262297E-11	-8.252657E-11	-6.697732E-7	-3.347278E-6
376	3778070107.917834	1.737964	23.500000	26.881543	-1.956800E-7	-3.751303E-11	1.483952E-10	-8.301396E-11	-8.461984E-11	-8.247134E-11	-8.173085E-11	-8.295900E-11	-8.274265E-11	-6.689376E-7	-3.343387E-6
380	3778070125.238969	1.747489	23.500000	26.865174	-1.958700E-7	-9.276913E-12	1.484322E-10	-9.237484E-11	-9.462391E-11	-9.301313E-11	-9.511950E-11	-9.378284E-11	-9.381852E-11	-6.708002E-7	-3.353204E-6
384	3778070142.379663	1.763525	23.500000	26.876748	-1.959200E-7	-9.919333E-11	1.484140E-10	-7.835328E-11	-7.654846E-11	-7.498544E-11	-7.557694E-11	-7.636603E-11	-7.606270E-11	-6.717558E-7	-3.357977E-6
388	3778070159.765007	1.783095	23.500000	26.877600	-1.956900E-7	-7.731492E-11	1.484470E-10	-8.109750E-11	-8.202671E-11	-8.122223E-11	-8.052280E-11	-8.121731E-11	-8.115987E-11	-6.740088E-7	-3.368664E-6
